year,competition_name,download_link
2020,Your Fast Lane,https://fastlane.swimming.org.nz/
2020,International Competition Clearance,https://archive.swimming.org.nz/agreements-and-forms.html
2020,Club Administration,https://archive.swimming.org.nz/mr-club-administration.html
2020,Swim Central Database Information and how to guides,https://archive.swimming.org.nz/page.php?id=1358
2020,Starting a new club,https://archive.swimming.org.nz/mr-starting-a-new-club.html
2020,The Swimmers Lane,https://archive.swimming.org.nz/swimmer-toolbox.html
2020,Open Water,https://archive.swimming.org.nz/page.php?id=1360
2020,Performance Calculators,https://archive.swimming.org.nz/mr-swimmer-toolbox-performance-calculators.html
2020,HPSNZ,https://archive.swimming.org.nz/mr-swimmer-toolbox-hpsnz.html
2020,Other Resources,https://archive.swimming.org.nz/mr-swimmer-toolbox-other-resources.html
2020,The Coaches' Lane,https://archive.swimming.org.nz/coaches-toolbox.html
2020,Courses,https://archive.swimming.org.nz/mr-coaches-toolbox-courses.html
2020,NZSCTA,https://archive.swimming.org.nz/mr-coaches-toolbox-nzscta.html
2020,Tips,https://archive.swimming.org.nz/mr-coaches-toolbox-tips.html
2020,Technical Officials,https://archive.swimming.org.nz/technical-officials.html
2020,Technical Advisory Committee,https://archive.swimming.org.nz/page.php?id=214
2020,Qualifications and Assessments,https://archive.swimming.org.nz/qualifications-and-assessments.html
2020,Appointments to SNZ National Meets,https://archive.swimming.org.nz/appointments.html
2020,Backstroke Ledges,https://archive.swimming.org.nz/page.php?id=1549
2020,Video Resources,https://archive.swimming.org.nz/video-resources.html
2020,SNZ Technical Official Merchandise,http://teamsports.co.nz/snz/technical-official-clothing
2020,SNZ Merchandise,https://shop.swimming.org.nz/
2020,About Us,https://archive.swimming.org.nz/education-about-us.html
2020,AUSTSWIM,https://archive.swimming.org.nz/become-a-swim-teacher.html
2020,Course Calendar,https://archive.swimming.org.nz/education-course-calendar.html
2020,Water Skills for Life,https://archive.swimming.org.nz/page.php?id=2959
2020,Resources,https://archive.swimming.org.nz/education-resources.html
2020,Kiwi Swim Safe Programme - Swimming in Schools,https://archive.swimming.org.nz/kiwi-swim-safe.html
2020,Active Movement in the Water,https://archive.swimming.org.nz/active-movement-in-the-water.html
2020,Education Manuals and Certificates,https://shop.swimming.org.nz/index.php?route=product/category&path=50
2020,The history of Para swimming,https://archive.swimming.org.nz/para-swimming.html
2020,Learn To Swim,https://archive.swimming.org.nz/pss-learn-to-swim.html
2020,Joining A Club,https://swimming.org.nz/find-a-club.html
2020,Classification in Para swimming,https://archive.swimming.org.nz/pss-classification-in-para-swimming.html
2020,Competitive Swimming,https://archive.swimming.org.nz/pss-competitive-swimming.html
2020,NCEA Modifications,https://archive.swimming.org.nz/pss-ncea-modifications.html
2020,"Info for coaches, clubs and regions",https://archive.swimming.org.nz/page.php?id=3216
2020,Our Organisation,https://archive.swimming.org.nz/about-swimming-new-zealand.html
2020,History,https://archive.swimming.org.nz/page.php?id=1650
2020,Life Members,https://archive.swimming.org.nz/life-members.html
2020,Presidents,https://archive.swimming.org.nz/page.php?id=3252
2020,Board,https://archive.swimming.org.nz/page.php?id=1651
2020,Our Staff,https://archive.swimming.org.nz/profiles.php?section=168
2020,Contact Us,https://archive.swimming.org.nz/page.php?id=1653
2020,Annual Awards,https://archive.swimming.org.nz/awards-dinner.html
2020,Honours Awards,https://archive.swimming.org.nz/honours-awards.html
2020,Service Awards,https://archive.swimming.org.nz/service-awards.html
2020,SNZ Trophies,https://archive.swimming.org.nz/snz-trophies.html
2020,Awards & Honours Nominations,https://archive.swimming.org.nz/awards-and-honours.html
2020,Find your local Swim Club,https://archive.swimming.org.nz/find-a-club.html
2020,Find a Quality Swim School,https://archive.swimming.org.nz/find-a-quality-swim-school.html
2020,Reports & Minutes,https://archive.swimming.org.nz/page.php?id=588
2020,Constitution,https://archive.swimming.org.nz/constitution.html
2020,SNZ Policies & Procedures,https://archive.swimming.org.nz/policies-and-procedures.html
2020,Swimming Rules,https://archive.swimming.org.nz/page.php?id=3067
2020,Terms & Conditions,https://archive.swimming.org.nz/terms-and-conditions.html
2020,Committees,https://archive.swimming.org.nz/committees.html
2020,SNZ Strategic Summary 2018-2024,https://archive.swimming.org.nz/whole-of-sport-plan.html
2020,Membership Information,https://archive.swimming.org.nz/membership-information.html
2020,Obituaries,https://archive.swimming.org.nz/obituaries.html
2020,Regions & Clubs,https://archive.swimming.org.nz/regions-and-clubs.html
2020,NZ Swimming Alumni,http://www.nzswimmingalumni.org.nz/
2020,NZ Masters Swimming,http://www.nzmastersswimming.org.nz/
2020,NZSCTA (Coaches & Teachers Association),https://www.nzscta.com/
2020,Sponsors & Partners,https://archive.swimming.org.nz/sponsors.php
2020,Community Vacancies,https://archive.swimming.org.nz/other-vacancies.html
2020,Police Vetting,https://archive.swimming.org.nz/swimming-new-zealand-police-vetting-process.html
2020,Police Vetting How To Process,https://swimming.org.nz/visageimages/Members%20Resources/Membership%20Protection/How%20to%20complete%20the%20police%20vetting%20process%20003.pdf
2020,Consent to Disclose Submission,https://form.jotform.com/210806794208862
2020,NZ Police Vetting Application Form,https://swimming.org.nz/visageimages/Health%20and%20Safety/Police%20Vetting/Police%20Vetting%20Request%20&%20Consent%20Application%20Form.doc
2020,Police Vetting Policy,https://swimming.org.nz/visageimages/Legal%20&%20Governance/Policies/Swimming%20NZ%20Police%20Vetting%20Policy%20and%20Process%20-%20Version%202%20-%2025%20Feb%202021.pdf
2020,2020 Selections,https://archive.swimming.org.nz/article.php?group_id=43346
2020,Membership Software,https://www.aptsolutions.net/
2019,SNZ Events,https://www.facebook.com/SNZevents
2019,Epic Swim,https://www.facebook.com/EpicSwim
2019,High Performance,https://www.facebook.com/pages/High-Performance-Swimming-New-Zealand/217739888313688
2019,Home,https://archive.swimming.org.nz/
2019,LATEST NEWS,https://archive.swimming.org.nz/news.php
2019,High Performance,https://archive.swimming.org.nz/news.php?section=148
2019,Education,https://archive.swimming.org.nz/news.php?section=149
2019,Community,https://archive.swimming.org.nz/news.php?section=150
2019,Social Media,https://archive.swimming.org.nz/social-media.html
2019,Freestyler,https://archive.swimming.org.nz/freestyler.html
2019,Media Contacts,https://archive.swimming.org.nz/media-contact.html
2019,Photography,https://archive.swimming.org.nz/gallery.php
2019,Videos,https://archive.swimming.org.nz/livestream.php?view=archive
2019,Athlete Pathway,https://archive.swimming.org.nz/page.php?id=2901
2019,Athlete Leadership Group,https://archive.swimming.org.nz/page.php?id=3188
2019,Anti-Doping,https://archive.swimming.org.nz/anti-doping.html
2019,Carding,https://archive.swimming.org.nz/hpsnz-carding-and-support.html
2019,Local Funding Sites,https://archive.swimming.org.nz/page.php?id=3016
2019,PM Scholarships,https://archive.swimming.org.nz/page.php?id=2204
2019,Coaching Strategy,https://archive.swimming.org.nz/page.php?id=3214
2019,Coach Selection Criteria for International Teams,https://archive.swimming.org.nz/page.php?id=3213
2019,Prime Minister Coach Scholarships,https://archive.swimming.org.nz/page.php?id=2206
2019,Long Term Athlete Development,https://archive.swimming.org.nz/page.php?id=2207
2019,Selection Criteria,https://archive.swimming.org.nz/selection-criteria-pool-open-water.html
2019,International HP Calendar,https://archive.swimming.org.nz/page.php?id=2305
2019,Selection Panel,https://archive.swimming.org.nz/page.php?id=2409
2019,2021,https://archive.swimming.org.nz/page.php?id=3477
2019,2020,https://archive.swimming.org.nz/page.php?id=3476
2019,2019,https://archive.swimming.org.nz/page.php?id=3086
2019,2018,https://archive.swimming.org.nz/page.php?id=2741
2019,2017,https://archive.swimming.org.nz/2017-national-teams.html
2019,2016,https://archive.swimming.org.nz/2016-national-teams.html
2019,2015,https://archive.swimming.org.nz/2015-national-teams.html
2019,2014,https://archive.swimming.org.nz/national-teams-2014.html
2019,2013,https://archive.swimming.org.nz/2013-national-teams.html
2019,2012,https://archive.swimming.org.nz/nationals-teams-2012.html
2019,2011,https://archive.swimming.org.nz/nationals-teams-2011.html
2019,2010,https://archive.swimming.org.nz/nationals-teams-2010.html
2019,2009,https://archive.swimming.org.nz/nationals-teams-2009.html
2019,Historical,https://archive.swimming.org.nz/nationals-teams-historical.html
2019,Swimmers & Coaches Profiles,https://archive.swimming.org.nz/profile_type.php?type=athlete
2019,AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=119
2019,New Zealand Swimmers,https://archive.swimming.org.nz/profiles.php?section=120
2019,Past AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=121
2019,New Zealand Coaches,https://archive.swimming.org.nz/profiles.php?section=3087
2019,Strategies and Policies,https://archive.swimming.org.nz/page.php?id=2363
2019,Events Calendar,https://archive.swimming.org.nz/calendar.html
2019,All National and International Meets,https://archive.swimming.org.nz/national-international-meets.html
2019,All New Zealand Meets,https://archive.swimming.org.nz/all-new-zealand-meets.html
2019,Past Meets,https://archive.swimming.org.nz/past-meets.html
2019,LIVESTREAM,https://archive.swimming.org.nz/livestream.html
2019,FAQ - Events & Competition Restructure,https://archive.swimming.org.nz/page.php?id=3582
2019,Designated Meets,https://archive.swimming.org.nz/page.php?id=3676
2019,Current Records,https://archive.swimming.org.nz/current-records.html
2019,Record Ratification Sheets,https://archive.swimming.org.nz/record-ratification-sheets.html
2019,TM Results Files,https://archive.swimming.org.nz/page.php?id=1065
2019,Results Database,https://archive.swimming.org.nz/results.html
2019,Committees & Working Groups,https://archive.swimming.org.nz/page.php?id=2601
2019,Meet Approval Process,https://archive.swimming.org.nz/page.php?id=1001
2019,Covid-19 and Health & Safety,https://archive.swimming.org.nz/page.php?id=3698
2019,Member Protection Policy Manual,https://swimming.org.nz/article.php?group_id=9187
2019,Membership Categories,https://swimming.org.nz/membership-information.html
2019,Mytogs,https://mytogs.co.nz/
2019,My Squads,https://mysquads.co.nz/
2019,Your Fast Lane,https://fastlane.swimming.org.nz/
2019,International Competition Clearance,https://archive.swimming.org.nz/agreements-and-forms.html
2019,Club Administration,https://archive.swimming.org.nz/mr-club-administration.html
2019,Swim Central Database Information and how to guides,https://archive.swimming.org.nz/page.php?id=1358
2019,Starting a new club,https://archive.swimming.org.nz/mr-starting-a-new-club.html
2019,The Swimmers Lane,https://archive.swimming.org.nz/swimmer-toolbox.html
2019,Open Water,https://archive.swimming.org.nz/page.php?id=1360
2019,Performance Calculators,https://archive.swimming.org.nz/mr-swimmer-toolbox-performance-calculators.html
2019,HPSNZ,https://archive.swimming.org.nz/mr-swimmer-toolbox-hpsnz.html
2019,Other Resources,https://archive.swimming.org.nz/mr-swimmer-toolbox-other-resources.html
2019,The Coaches' Lane,https://archive.swimming.org.nz/coaches-toolbox.html
